obs_id,obsname,starttime_utc,stoptime_utc,projectid,calibration,calibrators,deleted_flag
1083201376,Sun,2014-05-04T01:16:00.000Z,2014-05-04T01:20:00.000Z,G0002,False,,False
1083201616,Sun,2014-05-04T01:20:00.000Z,2014-05-04T01:24:00.000Z,G0002,False,,False
1083201856,Sun,2014-05-04T01:24:00.000Z,2014-05-04T01:28:00.000Z,G0002,False,,False
1083202096,Sun,2014-05-04T01:28:00.000Z,2014-05-04T01:32:00.000Z,G0002,False,,False
1083202336,Sun,2014-05-04T01:32:00.000Z,2014-05-04T01:36:00.000Z,G0002,False,,False
1083202576,Sun,2014-05-04T01:36:00.000Z,2014-05-04T01:40:00.000Z,G0002,False,,False
1083202816,Sun,2014-05-04T01:40:00.000Z,2014-05-04T01:44:00.000Z,G0002,False,,False
1083203056,Sun,2014-05-04T01:44:00.000Z,2014-05-04T01:48:00.000Z,G0002,False,,False
1083203296,Sun,2014-05-04T01:48:00.000Z,2014-05-04T01:52:00.000Z,G0002,False,,False
1083203536,Sun,2014-05-04T01:52:00.000Z,2014-05-04T01:56:00.000Z,G0002,False,,False
1083203776,Sun,2014-05-04T01:56:00.000Z,2014-05-04T02:00:00.000Z,G0002,False,,False
1083207616,Sun,2014-05-04T03:00:00.000Z,2014-05-04T03:04:00.000Z,G0002,False,,False
1083207856,Sun,2014-05-04T03:04:00.000Z,2014-05-04T03:08:00.000Z,G0002,False,,False
1083208096,Sun,2014-05-04T03:08:00.000Z,2014-05-04T03:12:00.000Z,G0002,False,,False
1083208336,Sun,2014-05-04T03:12:00.000Z,2014-05-04T03:16:00.000Z,G0002,False,,False
1083208576,Sun,2014-05-04T03:16:00.000Z,2014-05-04T03:20:00.000Z,G0002,False,,False
1083208816,Sun,2014-05-04T03:20:00.000Z,2014-05-04T03:24:00.000Z,G0002,False,,False
1083209056,Sun,2014-05-04T03:24:00.000Z,2014-05-04T03:28:00.000Z,G0002,False,,False
1083209296,Sun,2014-05-04T03:28:00.000Z,2014-05-04T03:32:00.000Z,G0002,False,,False
1083209536,Sun,2014-05-04T03:32:00.000Z,2014-05-04T03:36:00.000Z,G0002,False,,False
1083209776,Sun,2014-05-04T03:36:00.000Z,2014-05-04T03:40:00.000Z,G0002,False,,False
1083210016,Sun,2014-05-04T03:40:00.000Z,2014-05-04T03:44:00.000Z,G0002,False,,False
1083210256,Sun,2014-05-04T03:44:00.000Z,2014-05-04T03:48:00.000Z,G0002,False,,False
1083210496,Sun,2014-05-04T03:48:00.000Z,2014-05-04T03:52:00.000Z,G0002,False,,False
1083210736,Sun,2014-05-04T03:52:00.000Z,2014-05-04T03:56:00.000Z,G0002,False,,False
1083210976,Sun,2014-05-04T03:56:00.000Z,2014-05-04T04:00:00.000Z,G0002,False,,False
1083218416,Sun,2014-05-04T06:00:00.000Z,2014-05-04T06:04:00.000Z,G0002,False,,False
1083218656,Sun,2014-05-04T06:04:00.000Z,2014-05-04T06:08:00.000Z,G0002,False,,False
1083218896,Sun,2014-05-04T06:08:00.000Z,2014-05-04T06:12:00.000Z,G0002,False,,False
1083219136,Sun,2014-05-04T06:12:00.000Z,2014-05-04T06:16:00.000Z,G0002,False,,False
1083219376,Sun,2014-05-04T06:16:00.000Z,2014-05-04T06:20:00.000Z,G0002,False,,False
1083219616,Sun,2014-05-04T06:20:00.000Z,2014-05-04T06:24:00.000Z,G0002,False,,False
1083219856,Sun,2014-05-04T06:24:00.000Z,2014-05-04T06:28:00.000Z,G0002,False,,False
1083220096,Sun,2014-05-04T06:28:00.000Z,2014-05-04T06:32:00.000Z,G0002,False,,False
1083220336,Sun,2014-05-04T06:32:00.000Z,2014-05-04T06:36:00.000Z,G0002,False,,False
1083220576,Sun,2014-05-04T06:36:00.000Z,2014-05-04T06:40:00.000Z,G0002,False,,False
1083220816,Sun,2014-05-04T06:40:00.000Z,2014-05-04T06:44:00.000Z,G0002,False,,False
1083221056,Sun,2014-05-04T06:44:00.000Z,2014-05-04T06:48:00.000Z,G0002,False,,False
1083221296,Sun,2014-05-04T06:48:00.000Z,2014-05-04T06:52:00.000Z,G0002,False,,False
1083221536,Sun,2014-05-04T06:52:00.000Z,2014-05-04T06:56:00.000Z,G0002,False,,False
1083221776,Sun,2014-05-04T06:56:00.000Z,2014-05-04T07:00:00.000Z,G0002,False,,False
1083718816,Sun,2014-05-10T01:00:00.000Z,2014-05-10T01:04:00.000Z,G0002,False,,False
1083719056,Sun,2014-05-10T01:04:00.000Z,2014-05-10T01:08:00.000Z,G0002,False,,False
1083719296,Sun,2014-05-10T01:08:00.000Z,2014-05-10T01:12:00.000Z,G0002,False,,False
1083719536,Sun,2014-05-10T01:12:00.000Z,2014-05-10T01:16:00.000Z,G0002,False,,False
1083719776,Sun,2014-05-10T01:16:00.000Z,2014-05-10T01:20:00.000Z,G0002,False,,False
1083720016,Sun,2014-05-10T01:20:00.000Z,2014-05-10T01:24:00.000Z,G0002,False,,False
1083720256,Sun,2014-05-10T01:24:00.000Z,2014-05-10T01:28:00.000Z,G0002,False,,False
1083720496,Sun,2014-05-10T01:28:00.000Z,2014-05-10T01:32:00.000Z,G0002,False,,False
1083720736,Sun,2014-05-10T01:32:00.000Z,2014-05-10T01:36:00.000Z,G0002,False,,False
1083720976,Sun,2014-05-10T01:36:00.000Z,2014-05-10T01:40:00.000Z,G0002,False,,False
1083721216,Sun,2014-05-10T01:40:00.000Z,2014-05-10T01:44:00.000Z,G0002,False,,False
1083721456,Sun,2014-05-10T01:44:00.000Z,2014-05-10T01:48:00.000Z,G0002,False,,False
1083721696,Sun,2014-05-10T01:48:00.000Z,2014-05-10T01:52:00.000Z,G0002,False,,False
1083721936,Sun,2014-05-10T01:52:00.000Z,2014-05-10T01:56:00.000Z,G0002,False,,False
1083722176,Sun,2014-05-10T01:56:00.000Z,2014-05-10T02:00:00.000Z,G0002,False,,False
1083726016,Sun,2014-05-10T03:00:00.000Z,2014-05-10T03:04:00.000Z,G0002,False,,False
1083726256,Sun,2014-05-10T03:04:00.000Z,2014-05-10T03:08:00.000Z,G0002,False,,False
1083726496,Sun,2014-05-10T03:08:00.000Z,2014-05-10T03:12:00.000Z,G0002,False,,False
1083726736,Sun,2014-05-10T03:12:00.000Z,2014-05-10T03:16:00.000Z,G0002,False,,False
1083726976,Sun,2014-05-10T03:16:00.000Z,2014-05-10T03:20:00.000Z,G0002,False,,False
1083727216,Sun,2014-05-10T03:20:00.000Z,2014-05-10T03:24:00.000Z,G0002,False,,False
1083727456,Sun,2014-05-10T03:24:00.000Z,2014-05-10T03:28:00.000Z,G0002,False,,False
1083727696,Sun,2014-05-10T03:28:00.000Z,2014-05-10T03:32:00.000Z,G0002,False,,False
1083727936,Sun,2014-05-10T03:32:00.000Z,2014-05-10T03:36:00.000Z,G0002,False,,False
1083728176,Sun,2014-05-10T03:36:00.000Z,2014-05-10T03:40:00.000Z,G0002,False,,False
1083728416,Sun,2014-05-10T03:40:00.000Z,2014-05-10T03:44:00.000Z,G0002,False,,False
1083728656,Sun,2014-05-10T03:44:00.000Z,2014-05-10T03:48:00.000Z,G0002,False,,False
1083728896,Sun,2014-05-10T03:48:00.000Z,2014-05-10T03:52:00.000Z,G0002,False,,False
1083729136,Sun,2014-05-10T03:52:00.000Z,2014-05-10T03:56:00.000Z,G0002,False,,False
1083729376,Sun,2014-05-10T03:56:00.000Z,2014-05-10T04:00:00.000Z,G0002,False,,False
1083736816,Sun,2014-05-10T06:00:00.000Z,2014-05-10T06:04:00.000Z,G0002,False,,False
1083737056,Sun,2014-05-10T06:04:00.000Z,2014-05-10T06:08:00.000Z,G0002,False,,False
1083737296,Sun,2014-05-10T06:08:00.000Z,2014-05-10T06:12:00.000Z,G0002,False,,False
1083737536,Sun,2014-05-10T06:12:00.000Z,2014-05-10T06:16:00.000Z,G0002,False,,False
1083737776,Sun,2014-05-10T06:16:00.000Z,2014-05-10T06:20:00.000Z,G0002,False,,False
1083738016,Sun,2014-05-10T06:20:00.000Z,2014-05-10T06:24:00.000Z,G0002,False,,False
1083738256,Sun,2014-05-10T06:24:00.000Z,2014-05-10T06:28:00.000Z,G0002,False,,False
1083738496,Sun,2014-05-10T06:28:00.000Z,2014-05-10T06:32:00.000Z,G0002,False,,False
1083738736,Sun,2014-05-10T06:32:00.000Z,2014-05-10T06:36:00.000Z,G0002,False,,False
1083738976,Sun,2014-05-10T06:36:00.000Z,2014-05-10T06:40:00.000Z,G0002,False,,False
1083739216,Sun,2014-05-10T06:40:00.000Z,2014-05-10T06:44:00.000Z,G0002,False,,False
1083739456,Sun,2014-05-10T06:44:00.000Z,2014-05-10T06:48:00.000Z,G0002,False,,False
1083739696,Sun,2014-05-10T06:48:00.000Z,2014-05-10T06:52:00.000Z,G0002,False,,False
1083739936,Sun,2014-05-10T06:52:00.000Z,2014-05-10T06:56:00.000Z,G0002,False,,False
1083740176,Sun,2014-05-10T06:56:00.000Z,2014-05-10T07:00:00.000Z,G0002,False,,False
1083805216,Sun,2014-05-11T01:00:00.000Z,2014-05-11T01:04:00.000Z,G0002,False,,False
1083805456,Sun,2014-05-11T01:04:00.000Z,2014-05-11T01:08:00.000Z,G0002,False,,False
1083805696,Sun,2014-05-11T01:08:00.000Z,2014-05-11T01:12:00.000Z,G0002,False,,False
1083805936,Sun,2014-05-11T01:12:00.000Z,2014-05-11T01:16:00.000Z,G0002,False,,False
1083806176,Sun,2014-05-11T01:16:00.000Z,2014-05-11T01:20:00.000Z,G0002,False,,False
1083806416,Sun,2014-05-11T01:20:00.000Z,2014-05-11T01:24:00.000Z,G0002,False,,False
1083806656,Sun,2014-05-11T01:24:00.000Z,2014-05-11T01:28:00.000Z,G0002,False,,False
1083806896,Sun,2014-05-11T01:28:00.000Z,2014-05-11T01:32:00.000Z,G0002,False,,False
1083807136,Sun,2014-05-11T01:32:00.000Z,2014-05-11T01:36:00.000Z,G0002,False,,False
1083807376,Sun,2014-05-11T01:36:00.000Z,2014-05-11T01:40:00.000Z,G0002,False,,False
1083807616,Sun,2014-05-11T01:40:00.000Z,2014-05-11T01:44:00.000Z,G0002,False,,False
1083807856,Sun,2014-05-11T01:44:00.000Z,2014-05-11T01:48:00.000Z,G0002,False,,False
1083808096,Sun,2014-05-11T01:48:00.000Z,2014-05-11T01:52:00.000Z,G0002,False,,False
1083808336,Sun,2014-05-11T01:52:00.000Z,2014-05-11T01:56:00.000Z,G0002,False,,False
1083808576,Sun,2014-05-11T01:56:00.000Z,2014-05-11T02:00:00.000Z,G0002,False,,False
1083812416,Sun,2014-05-11T03:00:00.000Z,2014-05-11T03:04:00.000Z,G0002,False,,False
